SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3009 American Eagle Blvd,Woodbridge,VA,22191,749000,4,3.5,EAGLES POINTE,3656,8733,2012,3,205,138,Active,,,https://www.redfin.com/VA/Woodbridge/3009-American-Eagle-Blvd-22191/home/40294906,BRIGHT MLS,VAPW2078514,N,Y,38.604057,-77.2999058
MLS Listing,,Single Family Residential,1329 Devils Reach Rd,Woodbridge,VA,22192,649900,3,2.5,HORNBAKER,2115,19998,1957,4,307,,Pre On-Market,September-8-2024 01:00 PM,September-8-2024 03:00 PM,https://www.redfin.com/VA/Woodbridge/1329-Devils-Reach-Rd-22192/home/9155187,BRIGHT MLS,VAPW2077382,N,Y,38.671309,-77.2566122
MLS Listing,,Single Family Residential,15529 Wigeon Way,Woodbridge,VA,22191,797500,4,3.5,DAWSON LANDING,3820,25652,1998,4,209,38,Pre On-Market,September-14-2024 01:00 PM,September-14-2024 03:00 PM,https://www.redfin.com/VA/Woodbridge/15529-Wigeon-Way-22191/home/9347521,BRIGHT MLS,VAPW2077958,N,Y,38.6134199,-77.2661302
MLS Listing,,Single Family Residential,16305 Boatswain Cir,Woodbridge,VA,22191,825000,6,3.5,PORT POTOMAC,4030,8398,2011,8,205,155,Pre On-Market,,,https://www.redfin.com/VA/Woodbridge/16305-Boatswain-Cir-22191/home/40019598,BRIGHT MLS,VAPW2078092,N,Y,38.5981046,-77.2799886
MLS Listing,,Townhouse,4651 Woodway Pl,Woodbridge,VA,22193,370000,3,2.5,GREENWOOD FARM,1568,1742,1980,11,236,60,Pre On-Market,,,https://www.redfin.com/VA/Woodbridge/4651-Woodway-Pl-22193/home/9375901,BRIGHT MLS,VAPW2077360,N,Y,38.6411367,-77.3500756
MLS Listing,,Townhouse,12343 Manchester Way,Woodbridge,VA,22192,499900,3,3.5,WESTRIDGE,2396,2561,1990,75,209,124,Active,,,https://www.redfin.com/VA/Woodbridge/12343-Manchester-Way-22192/home/9275217,BRIGHT MLS,VAPW2072134,N,Y,38.6885722,-77.3312445
MLS Listing,,Single Family Residential,4600 Hamilton Dr,Woodbridge,VA,22193,425000,4,2,DALE CITY,1732,7474,1971,1,245,,Pre On-Market,,,https://www.redfin.com/VA/Woodbridge/4600-Hamilton-Dr-22193/home/9130042,BRIGHT MLS,VAPW2078248,N,Y,38.6655597,-77.3425151
MLS Listing,,Single Family Residential,5764 Ralston Ct,Woodbridge,VA,22193,475000,4,2.5,DALE CITY,1992,10545,1996,1,238,,Pre On-Market,,,https://www.redfin.com/VA/Woodbridge/5764-Ralston-Ct-22193/home/9211522,BRIGHT MLS,VAPW2078714,N,Y,38.6480344,-77.3811802
MLS Listing,,Single Family Residential,12506 Cavalier Dr,Woodbridge,VA,22192,765937,4,3.5,LAKE RIDGE,3762,27164,1983,1,204,73,Active,,,https://www.redfin.com/VA/Woodbridge/12506-Cavalier-Dr-22192/home/9233519,BRIGHT MLS,VAPW2078682,N,Y,38.6785652,-77.3107184
